title,description,start_date,end_date,location,price,sold_out,link,img_link,tags
NORTH AMERICAN INTERNATIONAL TOY FAIR,"The North American International Toy Fair is an annual event showcasing the latest toys and games in the industry. It is a great opportunity for toy manufacturers, retailers, and industry professionals to connect and discover new products.",2023-09-30,2023-10-03,,-1,False,https://toyfairny.com/,North American International Toy Fair,['Trade-show']
SUNY College Fair,High school seniors and their families are invited to join SUNY representatives for a program designed to provide information and answer your questions about the college search process and all that is available to undergraduates at The State University of New York.,2023-10-05,2023-10-06,,0,False,https://www.suny.edu/attend/events/,SUNY College Fair,['Education']
IFPDA FINE ART PRINT FAIR,"The IFPDA Fine Art Print Fair is an annual event organized by the IFPDA, a nonprofit organization of expert art dealers. The fair aims to foster a greater appreciation of fine prints through exhibitions, programs, print fairs, and the IFPDA Book Award.",2023-10-26,2023-10-29,,-1,False,https://www.fineartprintfair.org/,IFPDA Fine Art Print Fair,"['Art', 'Exhibition']"
Annual Big Apple Stars Awards,The Hotel Association of New York City will be holding its Annual Big Apple Stars Awards. This program is a great opportunity to bring public recognition to exceptional employees and serves as a qualifier for the American Hotel & Lodging Association’s Stars of the Industry Award.,2023-10-17,2023-10-17,,-1,False,https://hanyc.org/event/2022-big-apple-stars-awards-2/,Big Apple Stars Awards,"['Networking', 'Recognition', 'Hospitality']"
NAB Show New York,"Come and join thousands of content economy professionals eager to get down to business. Engage in peer-to-peer learning. Share with like-minded professionals. Get immediate results. This is your chance to see and learn from major broadcast networks, film and TV studios, and production and post-production houses all in one place.",2023-10-24,2023-10-26,,-1,False,https://nabshow.com/newyork2023/experience/,NAB Show New York,"['Conference', 'Film', 'Technology']"
NEW YORK INTERNATIONAL TRAVEL SHOW,"A world-class travel show that continues to bring together leaders of the Travel and Tourism industry. Where the travel industry will be inspired by new business models and emerging solutions. Where consumer travelers can discover new global and domestic destinations, resorts, cruises, travel products and services to book their next vacation.",2023-10-27,2023-10-29,New York,-1,False,https://www.nyinternationaltravelshow.com/,New York International Travel Show,"['Travel', 'Trade-show']"
AESNY 2023,"Celebrate with colleagues, clients and friends, discover new connections and explore audio technology at AESNY 2023! The Audio Engineering Society welcomes you on its 75th Anniversary to a new era of experiences, with leading manufacturers and engineers demonstrating the latest solutions and products, with a comprehensive selection of workshops, panels, demonstrations, training, papers and more.",2023-10-25,2023-10-27,,-1,False,https://aesshow.com/,AESNY 2023,"['Technology', 'Conference', 'Workshop']"
BIG APPLE COLLEGE FAIR,The Big Apple College Information Program has been helping New York City and the Metropolitan Area high school students discover new educational opportunities by hosting major college fairs and information programs for thirty years. Students interested in applying to college will have an opportunity to meet admissions representative from 200 schools located throughout the country. Financial Aid Workshops will be available for students and parents on how to finance a post-secondary education. Register for New York College Goal Sunday to receive assistance in completing the Free Application for Federal Student Aid.,2023-10-08,2023-10-08,,0,False,https://www.bigapplecollegefair.com/,Big Apple College Fair,['Education']
Amazon Ads unBoxed,"Get ready for Amazon Ads unBoxed, our annual conference where we’ll announce new solutions and innovations to help brands big and small connect with customers, grow their brand, and prepare for the future. Available to businesses of all sizes and accessible to marketers of every level of expertise, unBoxed provides ad solutions that help your business connect with customers at every stage of their journey. This year, we’re bringing you fresh insights from industry leaders, training and certification classes, engaging breakouts, interactive demos, networking, and after hours events.",2023-10-24,2023-10-26,,-1,False,https://www.amazonadvertising-unboxed.com/,Amazon Ads unBoxed,"['Conference', 'Networking', 'Technology']"
New York Comic Con,"New York Comic Con is the East Coast's biggest and most exciting popular culture convention. Our Show Floor plays host to the latest and greatest in comics, graphic novels, anime, manga, video games, toys, movies and television. Our Panels and Autograph Sessions give Fans a chance to interact with their favorite Creators. Our screening rooms feature sneak peeks at films and television shows months before they hit big and small screens. New York Comic Con is the second largest pop culture convention in America and the only one that takes place in the comic book, publishing, media and licensing capital of the world – Gotham City.",2023-10-12,2023-10-15,New York,-1,False,https://www.newyorkcomiccon.com/,New York Comic Con,"['Comics', 'Anime', 'Manga']"
JA NEW YORK FALL,Experience the Finest High-End Jewelry Show in New York,2023-10-29,2023-10-31,New York City,-1,False,https://ja-newyork.com/show/show-dates-times/,JA NEW YORK FALL,['Trade-show']
