title,description,start_date,end_date,location,price,sold_out,link,img_link,tags
Summer Music Festival,Join us for a weekend of live music performances from top artists!,2023-07-15,2023-07-17,City Park,50.0,False,,,"['Music', 'Festival', 'Outdoor']"
Annual Music Festival,Join us for the annual music festival featuring live performances from top artists.,2023-09-15,2023-09-17,City Park,50.0,False,https://example.com/music-festival,https://example.com/music-festival-image.jpg,"['Music', 'Festival', 'Outdoor']"
Summer Music Festival,Join us for a weekend of live music performances from top artists!,2023-07-15,2023-07-17,City Park,75.99,False,https://www.example.com/music-festival,https://www.example.com/music-festival-image.jpg,"['Music', 'Festival', 'Outdoor']"
Annual Music Festival,Join us for the annual music festival featuring live performances from top artists.,2023-09-15,2023-09-17,City Park,50.0,False,https://example.com/music-festival,https://example.com/music-festival-image.jpg,"['Music', 'Festival', 'Outdoor']"
Annual Music Festival,Join us for the annual music festival featuring live performances from top artists.,2023-09-15,2023-09-17,City Park,50.0,False,https://example.com/music-festival,https://example.com/music-festival-image.jpg,"['Music', 'Festival', 'Outdoor']"
Events for October 1,Check out the exciting events happening on October 1!,2023-10-01,2023-10-01,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 2,No events found for October 2,2023-10-02,2023-10-02,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
October 3 Events,Check out the events happening on October 3!,2023-10-03,2023-10-03,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 4,No events found for October 4,2023-10-04,2023-10-04,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 5,List of events happening on October 5,2023-10-05,2023-10-05,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 6,List of events happening on October 6,2023-10-06,2023-10-06,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 7,Check out the exciting events happening on October 7!,2023-10-07,2023-10-07,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 8,Check out the exciting events happening on October 8!,2023-10-08 00:00,2023-10-08 23:59,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
October 9 Events,Check out the events happening on October 9!,2023-10-09,2023-10-09,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 10,Check out the exciting events happening on October 10!,2023-10-10,2023-10-10,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 11,Check out the exciting events happening on October 11!,2023-10-11,2023-10-11,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 12,No events found for October 12,2023-10-12,2023-10-12,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
October 13 Events,A list of events happening on October 13,2023-10-13 00:00,2023-10-13 23:59,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 14,Check out the exciting events happening on October 14!,2023-10-14,2023-10-14,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 15,No events found for October 15,2023-10-15 00:00,2023-10-15 23:59,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 16,Check out the exciting events happening on October 16!,2023-10-16,2023-10-16,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 17,Check out the exciting events happening on October 17!,2023-10-17,2023-10-17,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 18,List of events happening on October 18,2023-10-18,2023-10-18,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 19,List of events happening on October 19,2023-10-19,2023-10-19,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 20,Check out the exciting events happening on October 20!,2023-10-20,2023-10-20,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 21,Check out the exciting events happening on October 21!,2023-10-21 00:00,2023-10-21 23:59,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 22,No events found for October 22,2023-10-22,2023-10-22,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 23,List of events happening on October 23,2023-10-23 00:00,2023-10-23 23:59,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 24,No events found for October 24,2023-10-24,2023-10-24,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Events for October 25,No events found for October 25,2023-10-25,2023-10-25,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Learn more about Dead Man Walking,Join us for an evening to learn more about the powerful opera Dead Man Walking.,2023-10-26 18:30,2023-10-26,Cinemas,-1,False,/season/2023-24-season/dead-man-walking/,,"['Music', 'Film', 'Theater']"
Learn more about Verdi’s Requiem,Join us for an evening of music as we explore Verdi’s Requiem,2023-10-27 19:00,2023-10-27 21:00,TBD,-1,False,/season/2023-24-season/verdis-requiem/,,"['Music', 'Performance']"
Learn more about Nabucco,Learn more about Nabucco,2023-10-28 19:00,2023-10-28 19:00,string,-1,False,/season/2023-24-season/nabucco/,,"['Music', 'Performance', 'Theater']"
Learn more about Verdi’s Requiem,Verdi’s Requiem is a powerful and emotional choral masterpiece. Join us for an evening of beautiful music and soul-stirring performances.,2023-10-29 19:00,2023-10-29 21:00,TBD,-1,False,/season/2023-24-season/verdis-requiem/,,"['Music', 'Performance']"
Events for October 30,Learn more about Dead Man Walking at 1:00 PM. Also appears in cinemas. Buy Tickets. Learn more about Verdi’s Requiem at 8:00 PM. Also appears in cinemas. Buy Tickets.,2023-10-30 09:00,2023-10-30 09:00,,-1,False,/season/2023-24-season/dead-man-walking/,,"['Music', 'Film', 'Theater']"
Learn more about Nabucco,Learn more about Nabucco,2023-10-01 15:00,2023-10-01 15:00,string,-1,False,/season/2023-24-season/nabucco/,,"['Music', 'Performance', 'Film', 'Theater']"
Events for October 2,No events found for October 2,2023-10-02,2023-10-02,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Learn more about Dead Man Walking,Learn more about the performance of Dead Man Walking,2023-10-03 19:30,2023-10-03 21:30,Cinemas,-1,False,/season/2023-24-season/dead-man-walking/,,"['Film', 'Theater']"
Learn more about Nabucco,Learn more about Nabucco,2023-10-04 19:30,2023-10-04 21:30,string,-1,False,/season/2023-24-season/nabucco/,,"['Music', 'Performance', 'Theater']"
Events for October 5,No events found for October 5,2023-10-05,2023-10-05,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Learn more about Dead Man Walking,Learn more about the performance of Dead Man Walking,2023-10-06 20:00,2023-10-06 21:30,Cinemas,-1,False,/season/2023-24-season/dead-man-walking/,,"['Film', 'Theater']"
Learn more about Nabucco,Learn more about Nabucco,2023-10-07 13:00,2023-10-07 14:00,Cinemas,-1,False,/season/2023-24-season/nabucco/,,"['Music', 'Performance', 'Film']"
Learn more about Dead Man Walking,Join us for an informative session about the play Dead Man Walking,2023-10-08 15:00,2023-10-08 15:00,Cinemas,-1,False,/season/2023-24-season/dead-man-walking/,,"['Film', 'Theater']"
October 9 Events,Check out the events happening on October 9!,2023-10-09,2023-10-09,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
La Bohème,Learn more about La Bohème,2023-10-10 19:30,2023-10-10,string,-1,False,/season/2023-24-season/la-boheme/,,"['Music', 'Performance', 'Theater']"
Learn more about Nabucco,Learn more about Nabucco at 7:30 PM. The event also appears in cinemas.,2023-10-11 19:30,2023-10-11 20:30,,-1,False,/season/2023-24-season/nabucco/,,"['Music', 'Performance', 'Film', 'Theater']"
Learn more about Dead Man Walking,Join us for an evening to learn more about Dead Man Walking,2023-10-12 19:30,2023-10-12 21:30,Cinemas,-1,False,/season/2023-24-season/dead-man-walking/,,"['Film', 'Theater']"
La Bohème,Learn more about La Bohème,2023-10-13 20:00,,,-1,False,/season/2023-24-season/la-boheme/,,"['Music', 'Performance', 'Film', 'Theater']"
Learn more about Nabucco,Learn more about Nabucco,2023-10-14 20:00,2023-10-14 21:30,Cinemas,-1,False,/season/2023-24-season/nabucco/,,"['Music', 'Performance', 'Film', 'Theater']"
Learn more about Dead Man Walking,Join us for an in-depth discussion about the opera Dead Man Walking,2023-10-15 15:00,2023-10-15 16:30,TBD,-1,False,/season/2023-24-season/dead-man-walking/,,"['Music', 'Performance', 'Lecture', 'Opera']"
Events for October 16,List of events happening on October 16,2023-10-16,2023-10-16,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
La Bohème,Learn more about La Bohème,2023-10-17 20:00,,,-1,False,/season/2023-24-season/la-boheme/,,"['Music', 'Performance', 'Film', 'Theater']"
Learn more about Dead Man Walking,Join us for an evening to learn more about the powerful opera Dead Man Walking.,2023-10-18 19:00,2023-10-18 20:30,Cinemas,-1,False,/season/2023-24-season/dead-man-walking/,,"['Music', 'Performance', 'Film', 'Theater']"
Events for October 19,List of events happening on October 19,2023-10-19,2023-10-19,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
Un Ballo in Maschera,Learn more about Un Ballo in Maschera,2023-10-20 20:00,,,-1,False,/season/2023-24-season/un-ballo-in-maschera/,,"['Music', 'Performance', 'Theater']"
Events for October 21,Learn more about Dead Man Walking at 1:00 PM. Also appears in cinemas. Buy Tickets. Learn more about La Bohème at 8:00 PM. Also appears in cinemas. Buy Tickets.,2023-10-21 09:00,2023-10-21 09:00,,-1,,/season/2023-24-season/dead-man-walking/,,"['Music', 'Film', 'Theater']"
Events for October 22,No events found for October 22,2023-10-22,2023-10-22,example_missing_attribute,-1,False,example_missing_attribute,example_missing_attribute,[]
