title,description,start_date,end_date,location,price,sold_out,link,img_link,tags
title,description,start_date,end_date,location,price,sold_out,link,img_link,tags
NYC-City Planning Commission Review Session,The City Planning Commission meets regularly to deliberate on land use applications. The review session will offer opportunities for both in-person and remote testimony.,2024-06-10 13:00,2024-06-10 15:00,"City Planning Commission Hearing Room, Lower Concourse, 120 Broadway, New York, NY 10271",0,False,https://www1.nyc.gov/site/nycengage/events/city-planning-commission-review-session/461588/1,,"['City Planning Commission', 'Review Session', 'Land Use Applications']"
Crossing The Line Festival 2023,"FIAF presents the Crossing The Line Festival, its annual celebration of dynamic artists and fresh perspectives from around the French-speaking world.",2023-09-08,2023-10-13,FIAF & Other Venues,-1,False,https://www1.nyc.gov/events/crossing-the-line-festival-2023/461417/18,,"['dance', 'art', 'performance', 'French-speaking world']"
Yom Kippur,NYC public schools are closed. City government offices will be open. Mail delivery and trash collection will run on a normal schedule.,2023-09-25,2023-09-25,New York City,0,False,https://www1.nyc.gov/events/yom-kippur/11952/1,,"['holiday', 'Yom Kippur', 'New York City']"
Crossing The Line Festival 2023,"FIAF presents the Crossing The Line Festival, its annual celebration of dynamic artists and fresh perspectives from around the French-speaking world.",2023-09-08,2023-10-13,FIAF & Other Venues,-1,False,https://www1.nyc.gov/events/crossing-the-line-festival-2023/461417/19,,"['dance', 'art', 'performance', 'French-speaking world']"
New Voices in French Cinema 2023,New Voices in French Cinema is back to showcase the exceptional talent of emerging filmmakers who are making their mark in French cinema.,2023-09-26,2023-09-26,"55 E 59th St, New York",0.0,False,https://www1.nyc.gov/events/new-voices-in-french-cinema-2023/461522/5,,"['film', 'cinema', 'French', 'emerging filmmakers']"
National Voter Registration Day,"National Voter Registration Day is a nonpartisan civic holiday celebrating our democracy. First observed in 2012, it has quickly gained momentum ever since. Over 5 million voters have registered to vote on the holiday to date.",2023-09-26 09:00,2023-09-26 21:00,New York City,0,False,https://www1.nyc.gov/site/civicengagement/events/national-voter-registration-day/455408/1,,"['civic', 'voter registration', 'democracy']"
Lenox Hill Food Box Farm stand,Farmers Market,2023-09-26 12:00,2023-09-26 19:00,"1 AVENUE between EAST-70 STREET and EAST-71 STREET, Manhattan",0.0,False,https://www1.nyc.gov/events/lenox-hill-food-box-farm-stand/460586/1,,['Farmers Market']
Crossing The Line Festival 2023,"FIAF presents the Crossing The Line Festival, its annual celebration of dynamic artists and fresh perspectives from around the French-speaking world.",2023-09-08,2023-10-13,FIAF & Other Venues,-1,False,https://www1.nyc.gov/events/crossing-the-line-festival-2023/461417/20,,"['dance', 'art', 'performance', 'French-speaking world']"
Kings County Hospital Market,Farmers Market,2023-09-27 08:00,2023-09-27 15:00,"CLARKSON AVENUE between EAST-37 STREET and EAST-38 STREET, Brooklyn",0.0,False,https://www1.nyc.gov/events/hhfm-kings-county-hospital-market/460439/1,,['Farmers Market']
Morris Heights Farm Stand,Farmers Market,2023-09-27 08:30,2023-09-27 17:00,"UNIVERSITY AVENUE between WEST-179 STREET and WEST-180 STREET, Bronx",0,False,https://www1.nyc.gov/events/morris-heights-farm-stand-wednesday/459837/1,,['Farmers Market']
Bk-Chinese-American Planning Council Fresh Food Box,Fresh food box event organized by the Chinese-American Planning Council,2023-09-27 10:00,2023-09-27 15:00,"8 AVENUE between 41 STREET and 42 STREET, Brooklyn",0,False,https://www1.nyc.gov/events/chinese-american-planning-council-fresh-food-box-wednesday/460141/1,,['Farmers Market']
HPD Outreach Event,"Visit the HPD Outreach Van to learn about housing-related issues. We can help you prepare to apply for affordable housing, understand your rights and responsibilities, file a housing complaint, finance improvements and repairs, register your building, remedy a violation.",2023-09-27 10:00,2023-09-27 16:00,"3525 Broadway, New York",0,False,https://www1.nyc.gov/site/hpd/events/hpd-outreach-event/460901/1,,"['housing', 'affordable housing', 'rights and responsibilities', 'housing complaint', 'improvements and repairs', 'building registration', 'violation remedy']"
Uptown Grand Central Food Box Wednesday,Farmers Market,2023-09-27 13:00,2023-09-27 19:00,"125 STREET between PARK AVENUE and MADISON AVENUE, Manhattan",0,False,https://www1.nyc.gov/events/uptown-grand-central-food-box-wednesday/459500/1,,['Farmers Market']
NYC-City of Yes for Housing Opportunity Remote Public Info Session,Learn about NYC's initiative to modernize zoning rules to expand housing opportunity.,2023-09-27 18:30,2023-09-27 20:30,Zoom,0,False,https://www1.nyc.gov/site/nycengage/events/city-of-yes-for-housing-opportunity-remote-public-info-session/461775/1,,"['housing', 'zoning', 'affordable housing', 'public info session']"
Crossing The Line Festival 2023,"FIAF presents the Crossing The Line Festival, its annual celebration of dynamic artists and fresh perspectives from around the French-speaking world.",2023-09-08,2023-10-13,FIAF & Other Venues,-1,False,https://www1.nyc.gov/events/crossing-the-line-festival-2023/461417/21,,"['festival', 'art', 'performance', 'French-speaking world']"
Columbia Thursday-Sunday Greenmarket,Farmers Market,2023-09-28 08:00,2023-09-28 17:00,"BROADWAY between WEST-113 STREET and WEST-116 STREET, Manhattan",0,False,https://www1.nyc.gov/events/columbia-thursday--sunday-greenmarket/460204/1,,['Farmers Market']
Norwood Farm Stand Thursday,Farmers Market,2023-09-28 08:30,2023-09-28 17:00,"EAST GUN HILL ROAD between DEKALB AVENUE and ROCHAMBEAU AVENUE, Bronx",0,False,https://www1.nyc.gov/events/norwood-farm-stand-thursday/459909/1,,['Farmers Market']
Mn-St. Anthony Market,Sidewalk Sale,2023-09-28 09:00,2023-09-28 18:30,"WEST HOUSTON STREET between THOMPSON STREET and MACDOUGAL STREET, Manhattan",0.0,False,https://www1.nyc.gov/events/st-anthony-market/459624/1,,[]
Bx-2023 Fordham Road Sidewalk Sale,Sidewalk Sale,2023-09-28 10:00,2023-09-28 21:00,"EAST FORDHAM ROAD between JEROME AVENUE and WASHINGTON AVENUE, Bronx",0.0,False,https://www1.nyc.gov/events/2023-fordham-road-sidewalk-sale/459962/1,,['Sidewalk Sale']
HPD in Your District - Council District 30,"Join HPD and NYC Council Member Robert Holden in your district and learn about housing-related issues. We can help you prepare to apply for affordable housing, understand your rights and responsibilities, file a housing complaint, finance improvements and repairs, register your building, remedy a violation, and more!",2023-09-28 10:00,2023-09-28 17:00,"Council Members Office, 58-38 69th Street, Maspeth",0,False,https://www1.nyc.gov/site/hpd/events/hpd-in-your-district-council-district-30/461420/1,,"['housing', 'affordable housing', 'rights and responsibilities', 'housing complaint', 'improvements and repairs', 'building registration', 'violation remedy']"
HPD in Your District Council District 20,Join HPD and NYC Council Member Sandra Ung in your district and learn about housing-related issues.,2023-09-28 10:00,2023-09-28 17:00,"135-27 38th Ave, Suite 388, Flushing",0,False,https://www1.nyc.gov/site/hpd/events/hpd-in-your-district-council-district-20/461309/1,,"['housing', 'affordable housing', 'rights', 'responsibilities', 'complaints', 'improvements', 'repairs', 'building registration', 'violations']"
Mn-East Harlem Health Action center Food Box Thursday,Farmers Market,2023-09-28 13:00,2023-09-28 18:30,"EAST-115 STREET between 3 AVENUE and LEXINGTON AVENUE, Manhattan",0,False,https://www1.nyc.gov/events/east-harlem-health-action-center-food-box-thursday/460339/1,,['Farmers Market']
Bk-Rainfall Ready NYC: Storm and Hurricane Preparedness,DEP will conduct a presentation on storm and hurricane preparedness as part of the Brooklyn Borough President's Community Resources Information Series. The presentation will provide tips to help homeowners protect their homes from flooding and sewer back-ups during rainfall events.,2023-09-28 18:00,2023-09-28 20:00,"2980 West 29th Street, Brooklyn",0.0,False,https://www1.nyc.gov/site/dep/events/rainfall-ready-nyc-storm-and-hurricane-preparedness/461756/1,,"['storm preparedness', 'hurricane preparedness', 'Brooklyn', 'DEP']"
Crossing The Line Festival 2023,"FIAF presents the Crossing The Line Festival, its annual celebration of dynamic artists and fresh perspectives from around the French-speaking world.",2023-09-08,2023-10-13,FIAF & Other Venues,-1,False,https://www1.nyc.gov/events/crossing-the-line-festival-2023/461417/22,,"['festival', 'art', 'performance', 'French-speaking world']"
The Wall That Heals,"The Wall That Heals is a traveling exhibit that includes the largest replica of the Vietnam Veterans Memorial Wall in Washington, D.C.",2023-09-29,2023-09-29,131-04 Meridian Rd (The field on the southwest side of the World Ice Arena),0,False,https://www1.nyc.gov/events/the-wall-that-heals/461767/1,,"['exhibit', 'veterans', 'memorial']"
97 Street Greenmarket,Farmers Market,2023-09-29 08:00,2023-09-29 17:00,"97 STREET between COLUMBUS AVENUE and AMSTERDAM AVENUE, Manhattan",0,False,https://www1.nyc.gov/events/97-street-greenmarket-friday/460057/1,,['Farmers Market']
Crown Heights Farm Stand,Farmers Market,2023-09-29 08:00,2023-09-29 17:00,"Nostrand Avenue between Carroll Street and Crown Street, Brooklyn",0,False,https://www1.nyc.gov/events/crown-heights-farm-stand-friday/460289/1,,['Farmers Market']
