title,description,start_date,end_date,location,price,sold_out,link,img_link,tags
Latin Dance Fitness,Get ready to move to some Latin beats!,2023-10-02 18:00,2023-10-02 18:45,"NYPL- Harlem Library, Manhattan",0.0,False,/events/2023/10/02/latin-dance-fitness,Latin Dance Fitness,"['Fitness', 'Shape Up NYC', 'Exercise Classes']"
Sprint & Jump into fitness,A fun and energetic class that will get your body moving! All levels welcome.,2023-10-02 17:00,2023-10-02 17:30,"Fitness Room (in Kwame Ture Recreation Center), Bronx",0.0,False,/events/2023/10/02/sprint-jump-into-fitness,Sprint & Jump into fitness,['Fitness']
Horror Screenwriting Workshop,Bring your tales of terror and scripts of screams to this exciting workshop!,2023-10-02 17:30,2023-10-02 19:45,"Herbert Von King Cultural Arts Center, Brooklyn",0.0,False,/events/2023/10/02/horror-screenwriting-workshop,Horror Screenwriting Workshop,"['Education', 'Film', 'Halloween', 'Talks']"
Chinese National Day Celebration,"Join us for Chinese National Celebration on October 2, 2023.",2023-10-02 15:00,2023-10-02 17:00,Turf Field (in Alfred E. Smith Playground),0.0,False,/events/2023/10/02/chinese-national-day-celebration,Chinese National Day Celebration,"['Arts & Crafts', 'Best for Kids', 'Seniors']"
STRONG Nation®,"STRONG Nation® combines body weight, muscle conditioning, cardio and plyometric training moves synced to original music that has been specifically designed to match every single move.",2023-10-02 18:00,2023-10-02 19:00,"Ryan Health- Chelsea Clinton Community Health Center, Manhattan",0.0,False,/events/2023/10/02/strong-nation,STRONG Nation,"['Fitness', 'Exercise Classes']"
Low Impact Bodyweight Circuit Training,This Low Impact Circuit Training class combines bodyweight resistance training and conditioning to provide you with a safe and effective full-body workout,2023-10-02 18:00,2023-10-02 18:45,"NYPL- Columbus Library, Manhattan",0.0,False,/events/2023/10/02/low-impact-bodyweight-circuit-training,Low Impact Bodyweight Circuit Training,"['Fitness', 'Shape Up NYC', 'Exercise Classes']"
Dance Fitness Latin Rhythms,Join this dance fitness class to learn Latin rhythms and get in shape. The class is free and part of the Shape Up NYC program.,2023-10-02 18:00,2023-10-02 18:45,"Flagpole (in Cunningham Park), Queens",0.0,False,/events/2023/10/02/dance-fitness-latin-rhythms,Dance Fitness Latin Rhythms,"['Fitness', 'Shape Up NYC', 'Exercise Classes']"
Hip House Cardio,Hip House is an upbeat dance aerobics workout that fuses Old School Hip-Hop and House vibes to improve cardio fitness and tone the body.,2023-10-02 17:00,2023-10-02 18:00,"Fit4Dance NYC, Brooklyn",0.0,False,/events/2023/10/02/hip-house-cardio,Hip House Cardio,"['Fitness', 'Dance', 'Exercise Classes']"
The Great Fire of 1963,"Explore the history behind The Great Fire of 1963, a.k.a Black Saturday, which was one of Staten Island's greatest tragedies.",2023-10-02 12:00,2023-10-02 15:00,"H.H. Biddle House (in Conference House Park), Staten Island",0.0,False,/events/2023/10/02/the-great-fire-of-1963,The Great Fire of 1963,['History']
Mi Parque Mi Tierra,"Mi Parque Mi Tierra is an art exhibition celebrating Hispanic Heritage Month, on view at the Arsenal Gallery in Central Park. The exhibition showcases the work of Hispanic artists and explores the theme of 'My Park, My Land'.",2023-10-02,2023-10-02,"Arsenal (in Central Park), Manhattan",0.0,False,/events/2023/10/02/arsenal-gallery-mi-parque-mi-tierra,Mi Parque Mi Tierra art exhibition,"['Art', 'Hispanic Heritage Month', 'Exhibition']"
Uplifted Dance Fitness,Uplift your spirit with this dance fitness class!,2023-10-02 18:00,2023-10-02 18:45,"Multi-Use Room - 2nd Fl (in Sorrentino Recreation Center), Queens",0.0,False,/events/2023/10/02/uplifted-dance-fitness,Uplifted Dance Fitness,"['Fitness', 'Shape Up NYC', 'Exercise Classes']"
Chair Yoga,"This class provides a seated flow that raises the heart rate and improves balance, with minimal impact on joints.",2023-10-02 18:30,2023-10-02 19:30,"Bartow Community Center - Room 31, Bronx",0.0,False,/events/2023/10/02/chair-yoga,Chair Yoga,"['Fitness', 'Shape Up NYC', 'Exercise Classes', 'Yoga']"
We Practice as a Team!,"Join NYC Parks and Recreation to learn defense, passing and shooting techniques.",2023-10-02 18:00,2023-10-02 19:45,"Gymnasium (Full) (in Kwame Ture Recreation Center), Bronx",0.0,False,/events/2023/10/02/we-practice-as-a-team,We Practice as a Team,"['Sports', 'Basketball/Netball', 'Social Sports']"
Bodyweight Circuit Training,"Using your own body weight, come experience this circuit training class that focuses on functional, everyday movement that will increase overall strength",2023-10-02 18:15,2023-10-02 19:15,"Dance Room (in Highbridge Recreation Center), Manhattan",0.0,False,/events/2023/10/02/bodyweight-circuit-training,Bodyweight Circuit Training,"['Fitness', 'Shape Up NYC', 'Exercise Classes']"
Bodyweight Interval Training,Join this fitness class for a bodyweight interval training session at McCarren Park in Brooklyn. The class meets at the track between the handball courts.,2023-10-02 18:30,2023-10-02 19:30,"McCarren Park, Brooklyn",0.0,False,/events/2023/10/02/bodyweight-interval-training,Bodyweight Interval Training,"['Fitness', 'Shape Up NYC', 'Exercise Classes']"
Forest Fitness,"Join the Fort Tryon Park Trust for a free, year-round exercise program on Tuesdays, Thursdays, and Saturdays! All are welcome!",2023-10-03,,"Margaret Corbin Circle (in Fort Tryon Park), Manhattan",0.0,False,/events/2023/10/03/forest-fitness,Forest Fitness,"['Fitness', 'Outdoor Fitness', 'Seniors']"
Low Impact Bodyweight Circuit Training,This Low Impact Circuit Training class combines bodyweight resistance training and conditioning to provide you with a safe and effective full-body workout.,2023-10-02 18:00,2023-10-02 18:45,"Multi-Use Room (in Asser Levy Recreation Center), Manhattan",0.0,False,/events/2023/10/02/low-impact-bodyweight-circuit-training1,Low Impact Bodyweight Circuit Training,"['Fitness', 'Shape Up NYC', 'Exercise Classes']"
Dance Fitness Energize,This 45-minute dance fitness class is about dancing your way towards an active lifestyle!,2023-10-02 19:00,2023-10-02 19:45,"NYC Housing Authority- Roosevelt Community Center, Brooklyn",0.0,False,/events/2023/10/02/dance-fitness-energize,dance fitness,"['Fitness', 'Shape Up NYC', 'Exercise Classes']"
"Hand Down, Elevate and Shoot!",Come join NYC Parks for this unique basketball training,2023-10-03 06:00,2023-10-03 09:00,"Gymnasium (Part B) (in Kwame Ture Recreation Center), Bronx",0.0,False,/events/2023/10/03/hand-down-elevate-and-shoot,"Hand Down, Elevate and Shoot!","['Sports', 'Basketball/Netball', 'Best for Kids']"
